country,creators,duration,episodes,genre,language,original_title,popularity,rating,seasons,stars,synopsis,title,year
United States,James Manos Jr.,55,96,"Crime,Drama,Mystery,Back to top","English,Spanish",,162,8.6,8,"Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,C.S. Lee,Luna Lauren Velez,Desmond Harrington,Julie Benz,Christina Robinson,Geoff Pierson,Preston Bailey,Aimee Garcia,Luke Andrew Kruntchev,Erik King,Evan George Kruntchev,Jimmy Star,Dana L. Wilson,Yvonne Strahovski","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",Dexter,2006–2013
United States,Greg Daniels,22,124,"Comedy,Back to top",English,,188,8.6,7,"Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,Aubrey Plaza,Aziz Ansari,Retta,Rashida Jones,Adam Scott,Rob Lowe,Jay Jackson,Paul Schneider,Ben Schwartz,Mo Collins,Yvans Jourdain,Jon Glaser,Billy Eichner,James Greene",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Parks and Recreation,2009–2015
United Kingdom,Peter Morgan,58,60,"Biography,Drama,History,Back to top",English,,94,8.6,6,"Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,Tobias Menzies,Dominic West,Charles Edwards,Jonathan Pryce,Vanessa Kirby,Marion Bailey,Victoria Hamilton,Helena Bonham Carter,Lesley Manville,Pip Torrens,Sam Phillips,Claudia Harrison,Marcia Warren,Elizabeth Debicki",Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.,The Crown,2016–2023
India,Ramanand Sagar,30,78,"Adventure,Drama,Family,Back to top",Hindi,,,9.0,1 Season,"Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,Dara Singh Randhawa,Sanjay Jog,Sameer Rajda,Shyamsundar Kalani,Vijay Arora,Bal Dhuri,Jayshree Gadkar,Padma Khanna,Rajni Bala,Mukesh Rawal,Nalin Dave,Aparajita,Lalita Pawar,Renu Dhariwal","An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Ramayan,1987–1988
United States,Donald Glover,30,41,"Comedy,Drama,Music,Back to top",English,,358,8.6,4,"Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,Khris Davis,RJ Walker,Harold House Moore,Matthew Barnes,Myra Lucretia Taylor,Tobias Segal,Austin Elle Fisher,Katt Williams,Adriyan Rae,Isiah Whitlock Jr.,Cranston Johnson,Griffin Freeman,Hugh Coles,Derrick J. Haywood","Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood.",Atlanta,2016–2022
United States,,30,18,"Documentary,Comedy,Back to top",English,,"1,761",8.7,3,"John Wilson,Kyle MacLachlan,Niko Nelson,Justin A. Martell,Yanjaa Wintersoul,Cynthia Larson,Ron Low,Gabrielle Merken,Liz Schack,John Pizzi,Jack Owoc,Brad Neilley,Mariska Hargitay,Christopher Meloni,Maggie Gyllenhaal,Elon Musk,Martha Stewart,Michael Bloomberg",An anxious New Yorker attempts to give everyday advice while dealing with his own personal issues.,How to with John Wilson,2020–2023
United States,Dan Fogelman,45,106,"Comedy,Drama,Romance,Back to top",English,,116,8.7,6,"Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,Justin Hartley,Susan Kelechi Watson,Chris Sullivan,Eris Baker,Faithe Herman,Jon Huertas,Hannah Zeile,Niles Fitch,Logan Shroyer,Mackenzie Hancsicsak,Parker Bates,Lyric Ross,Lonnie Chavis,Caitlin Thompson","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",This Is Us,2016–2022
United Kingdom,,25,25,"Comedy,Back to top",English,,"1,934",8.7,3,"Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn,Tony Guilfoyle,Patrick Drury,Rynagh O'Grady,Maurice O'Donoghue,Arthur Mathews,Don Wycherley,Pat Shortt,Jim Norton,Graham Norton,Don Foley,Paul Woodfull,Joe Taylor,Tom Farrelly,Rosemary Henderson","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",Father Ted,1995–1998
United States,Beau Willimon,0,73,"Drama,Back to top",English,,325,8.6,6,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,Michael Kelly,Justin Doescher,Derek Cecil,Jayne Atkinson,Nathan Darrow,Mahershala Ali,Boris McGiver,Paul Sparks,Molly Parker,Neve Campbell,Jeremy Holm,Marla Aaron Wapner,Nini Le Huynh,Gregory Divers",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,House of Cards,2013–2018
Japan,Naoki Urasawa,24,75,"Animation,Crime,Drama,Back to top","English,Japanese",,697,8.7,1 Season,"Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman,Nozomu Sasaki,Tsutomu Isobe,Richard Epcar,Junko Takeuchi,Keith Silverstein,Ichirô Nagai,Mami Koyama,Tara Platt,Michael McConnohie,Paul St. Peter,Takayuki Sugô,Hideyuki Tanaka,Laura Bailey,Patrick Seitz","Tenma, a brilliant neurosurgeon with a promising future, risks his career to save the life of a critically wounded young boy. The boy, now a charismatic young man, reappears 9 years later in the midst of a string of unusual serial murders.",Monster,2004–2005
